109	0.552300	5	1.25	0.521475	28	1.33
110	0.579915	2	1.17	0.552763	13	1.24
111	0.608911	1	1.10	0.585929	6	1.15
112	0.639357	0	1.03	0.621085	2	1.06
113	0.671325	0	0.96	0.658350	1	0.98
114	0.704891	0	0.89	0.697851	0	0.90
115	0.740135	0	0.83	0.739722	0	0.83
116	0.777142	0	0.77	0.777142	0	0.77
117	0.815999	0	0.71	0.815999	0	0.71
118	0.856799	0	0.66	0.856799	0	0.66
119	0.899639	0	0.61	0.899639	0	0.61
